fold,model_name,feature_set,MAE,MSE,RMSE,MAPE,R2,DA,n_test
13,LSTM,extended,0.005309861109163719,5.444288343683851e-05,0.007378542094264863,19.783167522439257,0.0375391073865643,66.66666666666666,30
14,LSTM,extended,0.009177343268724889,0.00010146629173109709,0.010073047787591256,74.0998131310559,-0.9004410591842082,40.0,30
15,LSTM,extended,0.007393196141632639,0.0001270659478714223,0.011272353253488035,27.813669819688354,0.1193354824324604,86.66666666666667,30
16,LSTM,extended,0.007747434564341172,7.911158720488657e-05,0.008894469472930162,52.541922930270545,-1.4286578076516614,50.0,30
17,LSTM,extended,0.00851789689854271,0.000291031501560825,0.017059645411345015,70.10286413387725,0.030156348632285,63.33333333333333,30
18,LSTM,extended,0.005791246868835493,5.099109796478653e-05,0.007140805134211865,37.13334230303045,-0.19548224190584973,60.0,30
19,LSTM,extended,0.008221890727357236,0.00014216026116114692,0.011923097800536022,28.099929743303655,0.1886457609998745,63.33333333333333,30
20,LSTM,extended,0.010076734055678122,0.00012750885750483656,0.011291982000731162,58.897695013050125,-3.7361374109401675,50.0,30
21,LSTM,extended,0.006796544636282408,8.548236970938057e-05,0.009245667618370269,26.914046227941522,0.2081567360683878,73.33333333333333,30
22,LSTM,extended,0.008184797078419393,0.00011875472005550262,0.010897463927699079,27.532178622926594,-0.152077584647613,63.33333333333333,30
